elapsed_s,log_timestamp_unix_s,source_time_boot_ms,seq,sysid,compid,north_x_m,east_y_m,down_z_m,velocity_north_mps,velocity_east_mps,velocity_down_mps
970.085233,1788180565.954739,1078856,241,1,1,-20.23305892944336,1.5023248195648193,-3.0971262454986572,0.012910323217511177,-0.00016719207633286715,-4.920106675854186e-06
970.633305,1788180566.502811,1079353,13,1,1,-20.235307693481445,1.515908122062683,-3.1076760292053223,0.008258937858045101,0.001839401782490313,-0.00345230707898736
971.084111,1788180566.953617,1079857,42,1,1,-20.23611831665039,1.5405715703964233,-3.1158106327056885,0.0035806638188660145,0.011109840124845505,-0.003989165648818016
971.585226,1788180567.454732,1080353,71,1,1,-20.234045028686523,1.5640127658843994,-3.128746747970581,0.0014420648803934455,0.014323748648166656,-0.006489168386906385
972.112757,1788180567.982263,1080858,100,1,1,-20.225522994995117,1.5791407823562622,-3.144944906234741,0.0012408267939463258,0.011393104679882526,-0.01112864725291729
972.627969,1788180568.497475,1081356,128,1,1,-20.221357345581055,1.599899411201477,-3.1583359241485596,-0.0032969401217997074,0.013571982271969318,-0.014508015476167202
973.158092,1788180569.027598,1081856,157,1,1,-20.21483612060547,1.620126724243164,-3.163210391998291,-0.004123128019273281,0.015255953185260296,-0.014633762650191784
973.611351,1788180569.480857,1082353,185,1,1,-20.21019172668457,1.6364984512329102,-3.1721458435058594,-0.00438535213470459,0.012984707951545715,-0.015902312472462654
974.078694,1788180569.948200,1082856,214,1,1,-20.19347381591797,1.6548607349395752,-3.1764652729034424,0.0038093857001513243,0.013167008757591248,-0.018308285623788834
974.764515,1788180570.634021,1083356,242,1,1,-20.174463272094727,1.6781985759735107,-3.1672983169555664,0.009391119703650475,0.016786545515060425,-0.017316605895757675
975.110456,1788180570.979962,1083856,15,1,1,-20.150781631469727,1.7183772325515747,-3.151657819747925,0.015720369294285774,0.029714297503232956,-0.008477366529405117
975.608336,1788180571.477842,1084353,43,1,1,-20.128982543945312,1.7501473426818848,-3.15804386138916,0.02065068855881691,0.03198301047086716,-0.01058879029005766
976.143786,1788180572.013292,1084856,73,1,1,-20.116708755493164,1.7855015993118286,-3.1506896018981934,0.01830080896615982,0.039792321622371674,-0.0069657014682888985
976.600459,1788180572.469965,1085353,101,1,1,-20.092336654663086,1.8133056163787842,-3.1430540084838867,0.02655082195997238,0.03812249377369881,-0.005598939023911953
