Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:51:01 AM  1002     79980   57.00    1.00    0.00    0.00   58.00    14  14726.00      0.00 9167820  797124   2.45  python3
01:51:01 AM  1002     80904    2.00    1.00    0.00    0.00    3.00    22      0.00      0.00 2072060  169864   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:51:02 AM  1002     79980   67.00    6.00    0.00    0.00   73.00     4  14585.00      0.00 9167820  796728   2.45  python3
01:51:02 AM  1002     80904    2.00    0.00    0.00    0.00    2.00     4      0.00      0.00 2072060  169864   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:51:03 AM  1002     79980   54.00    3.00    0.00    0.00   57.00    14  13706.00      0.00 9167820  797188   2.45  python3
01:51:03 AM  1002     80904    1.00    1.00    0.00    0.00    2.00     8      0.00      0.00 2072060  169864   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:51:04 AM  1002     79980   71.00    7.00    0.00    0.00   78.00    14  13706.00      0.00 9167820  797416   2.46  python3
01:51:04 AM  1002     80904    1.00    1.00    0.00    0.00    2.00     8      0.00      0.00 2072060  169864   0.52  python3
