Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:36 PM  1002     10730   51.00    1.00    0.00    0.00   52.00     8   6752.00      0.00 9187220  817164   2.52  python3
12:46:36 PM  1002     13145    2.00    1.00    0.00    0.00    3.00     2   1995.00      0.00 2072032  169564   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:37 PM  1002     10730   49.00    0.00    0.00    0.00   49.00    12  11597.00      0.00 9172940  802084   2.47  python3
12:46:37 PM  1002     13145    1.00    1.00    0.00    0.00    2.00     4   1995.00      0.00 2072032  169564   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:38 PM  1002     10730   52.00    1.00    0.00    0.00   53.00    12  17754.00      0.00 9172940  802288   2.47  python3
12:46:38 PM  1002     13145    2.00    1.00    0.00    0.00    3.00    14   1995.00      0.00 2072032  169564   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:39 PM  1002     10730   50.00    7.00    0.00    0.00   57.00    14  15375.00      0.00 9180080  809592   2.49  python3
12:46:39 PM  1002     13145    2.00    1.00    0.00    0.00    3.00    10   1995.00      0.00 2072032  169564   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:40 PM  1002     10730   41.00    3.00    0.00    0.00   44.00     2  16224.00      0.00 9179060  808856   2.49  python3
12:46:40 PM  1002     13145    1.00    1.00    0.00    0.00    2.00    18   1995.00      0.00 2072032  169564   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:41 PM  1002     10730   50.00    0.00    0.00    0.00   50.00     2  17244.00      0.00 9186200  815788   2.51  python3
12:46:41 PM  1002     13145    2.00    1.00    0.00    0.00    3.00    12   1995.00      0.00 2072032  169564   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:42 PM  1002     10730   51.00    1.00    0.00    0.00   52.00     2  15204.00      0.00 9172940  802684   2.47  python3
12:46:42 PM  1002     13145    1.00    2.00    0.00    0.00    3.00    12   1995.00      0.00 2072032  169564   0.52  python3

