elapsed_time_s,wall_time,wall_time_unix_s,source_timestamp_s,source_clock_s,latitude_deg,longitude_deg,altitude_msl_m,relative_altitude_m,gps_local_east_m,gps_local_north_m,local_x_east_m,local_y_north_m,local_z_up_m,ground_speed_mps,vertical_speed_up_mps,heading_deg,source_topic
79.276983,2026-09-01T20:08:04.378218+00:00,1788293284.378218174,1788293282.818902969,1788293282.768919945,6.077234268,80.190773010,3.099999905,3.099999905,1.689117584,-15.239507104,1.926062226,-15.339736938,3.099999905,0.333157444,-0.001342354,172.969919,/ap/v1/navsat
80.525638,2026-09-01T20:08:05.626873+00:00,1788293285.626872778,1788293284.038492918,1788293284.008502960,6.077230453,80.190773010,3.099999905,3.098999977,1.689117584,-15.661361972,1.981408834,-15.773880005,3.089999914,0.334730910,-0.000341459,172.967462,/ap/v1/navsat
80.745429,2026-09-01T20:08:05.846664+00:00,1788293285.846663952,1788293284.238425970,1788293284.142457962,6.077229977,80.190773010,3.099999905,3.098999977,1.689117584,-15.714093831,1.981408834,-15.773880005,3.089999914,0.334730910,-0.000341459,172.967462,/ap/v1/navsat
81.144463,2026-09-01T20:08:06.245697+00:00,1788293286.245697498,1788293284.636291981,1788293284.583309889,6.077229023,80.190773010,3.099999905,3.098000050,1.689117584,-15.819557548,1.992478013,-15.851803780,3.089999914,0.334969124,-0.000325094,172.967686,/ap/v1/navsat
82.366424,2026-09-01T20:08:07.467658+00:00,1788293287.467658281,1788293285.817894936,1788293285.749917984,6.077224731,80.190773010,3.099999905,3.098000050,1.689117584,-16.294144274,2.047824860,-16.319343567,3.089999914,0.335927556,-0.000303331,172.966843,/ap/v1/navsat
83.009301,2026-09-01T20:08:08.110535+00:00,1788293288.110535145,1788293286.436686993,1788293286.418693066,6.077223301,80.190773010,3.099999905,3.098000050,1.689117584,-16.452339850,2.081032753,-16.597639084,3.089999914,0.333678368,-0.000374567,172.968866,/ap/v1/navsat
86.714707,2026-09-01T20:08:11.815941+00:00,1788293291.815940619,1788293290.036477089,1788293290.015484095,6.077211857,80.190780640,3.099999905,3.096999884,2.533676375,-17.717904453,2.236003399,-17.833278656,3.089999914,0.332339187,-0.000574301,172.969513,/ap/v1/navsat
90.239134,2026-09-01T20:08:15.340368+00:00,1788293295.340367794,1788293293.438333988,1788293293.330369949,6.077201366,80.190780640,3.099999905,3.095999956,2.533676375,-18.878005340,2.379904509,-19.035522461,3.089999914,0.331217327,-0.000446988,172.969086,/ap/v1/navsat
94.145039,2026-09-01T20:08:19.246273+00:00,1788293299.246273279,1788293297.238056898,1788293297.216063976,6.077189445,80.190780640,3.099999905,3.094000101,2.533676375,-20.196301803,2.545944452,-20.349084854,3.089999914,0.336373464,0.000795832,172.968821,/ap/v1/navsat
94.942431,2026-09-01T20:08:20.043666+00:00,1788293300.043665886,1788293298.018794060,1788293297.992803097,6.077187061,80.190780640,3.099999905,3.095000029,2.533676375,-20.459961095,2.568083048,-20.482667923,3.089999914,0.339713552,0.000423732,172.967198,/ap/v1/navsat
103.445286,2026-09-01T20:08:28.546521+00:00,1788293308.546521187,1788293306.238754988,1788293306.193762064,6.077161312,80.190788269,3.099999905,3.092000008,3.378235167,-23.307481454,2.933371067,-23.466012955,3.089999914,0.329876514,0.000672112,172.968029,/ap/v1/navsat
104.464462,2026-09-01T20:08:29.565697+00:00,1788293309.565697193,1788293307.238586903,1788293307.173598051,6.077157974,80.190788269,3.099999905,3.092999935,3.378235167,-23.676604463,2.977648258,-23.811101913,3.089999914,0.331755085,-0.000472819,172.968603,/ap/v1/navsat
105.901302,2026-09-01T20:08:31.002536+00:00,1788293311.002536297,1788293308.637351990,1788293308.582360983,6.077153683,80.190788269,3.089999914,3.092999935,3.378235167,-24.151191190,3.021925449,-24.245244980,3.089999914,0.334599707,-0.001252833,172.968859,/ap/v1/navsat
114.343578,2026-09-01T20:08:39.444812+00:00,1788293319.444812298,1788293316.818977118,1788293316.799979925,6.077127934,80.190788269,3.099999905,3.091000080,3.378235167,-26.998711548,3.376143932,-27.106138229,3.089999914,0.332359083,-0.000282640,172.966891,/ap/v1/navsat
116.458798,2026-09-01T20:08:41.560033+00:00,1788293321.560033083,1788293318.837637901,1788293318.798644066,6.077122211,80.190788269,3.089999914,3.089999914,3.378235167,-27.631493850,3.464698315,-27.774051666,3.089999914,0.281158289,-0.000431051,172.973015,/ap/v1/navsat
