elapsed_time_s,wall_time,wall_time_unix_s,source_timestamp_s,source_clock_s,message_type,topic,sequence_number,sysid,compid,interarrival_ms
43.977244,2026-09-01T20:53:15.641429+00:00,1788295995.641428947,,1788295993.520967007,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,528.237
44.485025,2026-09-01T20:53:16.149211+00:00,1788295996.149210930,,1788295994.199738979,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,507.778
45.007645,2026-09-01T20:53:16.671830+00:00,1788295996.671830416,,1788295994.723562956,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,522.620
45.554678,2026-09-01T20:53:17.218863+00:00,1788295997.218863249,,1788295995.175410986,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,547.030
46.073630,2026-09-01T20:53:17.737816+00:00,1788295997.737815857,,1788295995.678241968,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,518.959
46.552477,2026-09-01T20:53:18.216663+00:00,1788295998.216662884,,1788295996.193068981,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,478.847
47.101072,2026-09-01T20:53:18.765257+00:00,1788295998.765257120,,1788295996.698899031,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,548.596
47.597394,2026-09-01T20:53:19.261580+00:00,1788295999.261579990,,1788295997.225722075,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,496.323
48.127462,2026-09-01T20:53:19.791647+00:00,1788295999.791647434,,1788295997.739548922,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,530.061
48.617901,2026-09-01T20:53:20.282088+00:00,1788296000.282088041,,1788295998.223438025,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,490.444
49.165380,2026-09-01T20:53:20.829565+00:00,1788296000.829565287,,1788295998.684360027,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,547.478
49.690336,2026-09-01T20:53:21.354522+00:00,1788296001.354521513,,1788295999.223269939,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,524.956
50.197765,2026-09-01T20:53:21.861952+00:00,1788296001.861951590,,1788295999.733184099,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,507.424
50.716878,2026-09-01T20:53:22.381064+00:00,1788296002.381063938,,1788296000.162111998,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,519.110
51.263228,2026-09-01T20:53:22.927414+00:00,1788296002.927413702,,1788296000.649029970,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,546.359
51.737950,2026-09-01T20:53:23.402135+00:00,1788296003.402135134,,1788296001.232932091,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,474.724
52.234964,2026-09-01T20:53:23.899149+00:00,1788296003.899149418,,1788296001.708852053,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,497.013
52.747514,2026-09-01T20:53:24.411700+00:00,1788296004.411699772,,1788296002.160775900,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,512.551
53.281207,2026-09-01T20:53:24.945392+00:00,1788296004.945392132,,1788296002.732680082,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,533.692
53.786691,2026-09-01T20:53:25.450876+00:00,1788296005.450876474,,1788296003.184603930,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,505.485
54.307268,2026-09-01T20:53:25.971454+00:00,1788296005.971453667,,1788296003.469556093,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,520.574
