time_s,raw_score_array
47.834594,"[1.0, 0.9963858127593994, 1.0, 40.20296859741211, -53.79703140258789, 1.0, 0.9819291234016418, 1.0, 2.0, 0.7283004522323608, 1.0, 4.984270095825195, -89.01573181152344, 1.0, 0.9858802556991577, 0.8128172159194946, 3.0, 0.9976741671562195, 1.0, 31.119585037231445, -62.88041305541992, 1.0, 0.9883707165718079, 1.0]"
49.834543,"[1.0, 0.9949678778648376, 1.0, 42.17896270751953, -51.82103729248047, 1.0, 0.9748395085334778, 1.0, 2.0, 0.8476055860519409, 1.0, 17.150915145874023, -76.84908294677734, 1.0, 0.9752781987190247, 0.8104077577590942, 3.0, 0.9963998794555664, 1.0, 33.59898376464844, -60.40101623535156, 1.0, 0.9819995164871216, 1.0]"
51.834627,"[1.0, 0.9977982044219971, 1.0, 38.61533737182617, -55.38466262817383, 1.0, 0.9889910221099854, 1.0, 2.0, 0.802093505859375, 1.0, 12.275386810302734, -81.72461700439453, 1.0, 0.992450475692749, 0.8084951639175415, 3.0, 0.998670756816864, 1.0, 34.11292266845703, -59.88707733154297, 1.0, 0.9933538436889648, 1.0]"
53.834574,"[1.0, 0.997399091720581, 1.0, 40.57056427001953, -53.42943572998047, 1.0, 0.98699551820755, 1.0, 2.0, 0.7885809540748596, 1.0, 11.096714973449707, -82.90328216552734, 1.0, 0.9836326241493225, 0.8088731169700623, 3.0, 0.9964461326599121, 1.0, 30.57343101501465, -63.426570892333984, 1.0, 0.982230544090271, 1.0]"
55.834621,"[1.0, 0.9968269467353821, 1.0, 39.73651885986328, -54.26348114013672, 0.9937153458595276, 0.993561863899231, 1.0, 2.0, 0.76710045337677, 1.0, 8.78775405883789, -85.21224975585938, 1.0, 0.9913520216941833, 0.8095249533653259, 3.0, 0.9970000982284546, 1.0, 30.664098739624023, -63.335899353027344, 0.9937153458595276, 0.9944275617599487, 1.0]"
57.834514,"[1.0, 0.9943921566009521, 1.0, 39.906578063964844, -54.093421936035156, 1.0, 0.971960723400116, 1.0, 2.0, 0.8167740702629089, 1.0, 13.994779586791992, -80.00521850585938, 1.0, 0.9780469536781311, 0.8121688961982727, 3.0, 0.9440739750862122, 1.0, 24.965702056884766, -69.0343017578125, 1.0, 0.972084641456604, 1.0]"
59.834616,"[1.0, 0.998469889163971, 1.0, 38.23032760620117, -55.76967239379883, 1.0, 0.9923495054244995, 1.0, 2.0, 0.7918961048126221, 1.0, 11.229081153869629, -82.77091979980469, 1.0, 0.9912424087524414, 0.8135683536529541, 3.0, 0.997240424156189, 1.0, 32.981849670410156, -61.018150329589844, 1.0, 0.9862021207809448, 1.0]"
61.834736,"[1.0, 0.9984363913536072, 1.0, 41.17889404296875, -52.82110595703125, 1.0, 0.9921820163726807, 1.0, 2.0, 0.823782205581665, 1.0, 14.361235618591309, -79.63876342773438, 1.0, 0.9935482740402222, 0.8146019577980042, 3.0, 0.9987072944641113, 1.0, 33.395896911621094, -60.604103088378906, 1.0, 0.9935364127159119, 1.0]"
63.834564,"[1.0, 0.9985551238059998, 1.0, 41.25521469116211, -52.74478530883789, 1.0, 0.9927756190299988, 1.0, 2.0, 0.7943788170814514, 1.0, 11.391396522521973, -82.60860443115234, 1.0, 0.9950082898139954, 0.8146318197250366, 3.0, 0.9984733462333679, 1.0, 30.903018951416016, -63.096981048583984, 1.0, 0.9923667907714844, 1.0]"
65.834565,"[1.0, 0.9987598657608032, 1.0, 42.068023681640625, -51.931976318359375, 1.0, 0.9937993288040161, 1.0, 2.0, 0.8363459706306458, 1.0, 15.787121772766113, -78.21287536621094, 0.9953824281692505, 0.9922496676445007, 0.8141010403633118, 3.0, 0.9970787167549133, 1.0, 31.156869888305664, -62.84313201904297, 0.9953824281692505, 0.9923198819160461, 1.0]"
