time_s,node_id,x_m,y_m,z_m
5.299902,1,-27.664913177490234,-15.963979721069336,59.983402252197266
5.299902,2,-28.444761276245117,-14.009492874145508,40.0773811340332
5.299902,3,-20.59325408935547,-41.514320373535156,49.91933059692383
5.400059,0,-70.0,-7.0,2.9000000953674316
5.400059,1,-26.644546508789062,-15.82529354095459,59.97834777832031
5.400059,2,-27.468542098999023,-13.688294410705566,40.07070541381836
5.400059,3,-19.656658172607422,-41.9786376953125,49.92267990112305
5.499910,0,-70.0,-7.0,2.9000000953674316
5.499910,1,-25.621803283691406,-15.687470436096191,59.973175048828125
5.499910,2,-26.488819122314453,-13.362009048461914,40.06794738769531
5.499910,3,-18.71959686279297,-42.44240188598633,49.92610549926758
5.599929,0,-70.0,-7.0,2.9000000953674316
5.599929,1,-24.596525192260742,-15.551735877990723,59.9686393737793
5.599929,2,-25.502826690673828,-13.038533210754395,40.068504333496094
5.599929,3,-17.78168487548828,-42.90168380737305,49.92934799194336
5.700062,0,-70.0,-7.0,2.9000000953674316
5.700062,1,-23.565614700317383,-15.421029090881348,59.964054107666016
5.700062,2,-24.51390838623047,-12.71059513092041,40.070159912109375
5.700062,3,-16.845779418945312,-43.36091995239258,49.93498611450195
5.800053,0,-70.0,-7.0,2.9000000953674316
5.800053,1,-22.533849716186523,-15.287631034851074,59.957923889160156
5.800053,2,-23.52414321899414,-12.379661560058594,40.073402404785156
5.800053,3,-15.911067962646484,-43.82197570800781,49.93890380859375
5.899953,0,-70.0,-7.0,2.9000000953674316
5.899953,1,-21.496774673461914,-15.160479545593262,59.952449798583984
5.899953,2,-22.531339645385742,-12.052992820739746,40.07752990722656
5.899953,3,-14.977333068847656,-44.28178024291992,49.941688537597656
5.999838,0,-70.0,-7.0,2.9000000953674316
5.999838,1,-20.45867919921875,-15.032445907592773,59.951358795166016
5.999838,2,-21.535873413085938,-11.724956512451172,40.08284378051758
5.999838,3,-14.042284965515137,-44.74151611328125,49.94313430786133
6.101386,0,-70.0,-7.0,2.9000000953674316
6.101386,1,-19.41977882385254,-14.902848243713379,59.95286560058594
6.101386,2,-20.538509368896484,-11.395673751831055,40.089298248291016
6.101386,3,-13.1076021194458,-45.199222564697266,49.94600296020508
6.200109,0,-70.0,-7.0,2.9000000953674316
